date,mom
192701,0.44
192702,-2.01
192703,3.59
192704,4.19
192705,3.01
192706,0.51
192707,4.32
192708,1.12
192709,1.93
192710,-1.11
192711,-0.68
192712,3.19
192801,-0.60
192802,-1.02
192803,4.87
192804,-5.65
192805,2.85
192806,2.05
192807,2.75
192808,3.62
192809,3.62
192810,5.05
192811,1.93
192812,1.71
192901,2.47
192902,3.09
192903,-0.92
192904,1.89
192905,-2.04
192906,8.79
192907,2.94
192908,4.63
192909,3.04
192910,4.09
192911,-2.02
192912,5.15
193001,-5.04
193002,0.42
193003,-4.18
193004,3.94
193005,-0.01
193006,6.61
193007,-2.16
193008,3.95
193009,11.44
193010,6.95
193011,-1.17
193012,13.29
193101,-10.94
193102,-14.37
193103,9.55
193104,11.42
193105,9.03
193106,-17.85
193107,8.05
193108,-3.52
193109,10.18
193110,3.28
193111,7.61
193112,14.17
193201,-10.32
193202,1.62
193203,10.33
193204,6.95
193205,12.20
193206,2.10
193207,-43.94
193208,-52.26
193209,2.44
193210,4.29
193211,-2.09
193212,5.26
193301,-1.53
193302,4.19
193303,2.35
193304,-15.95
193305,-3.92
193306,3.54
193307,0.41
193308,7.51
193309,1.65
193310,-2.28
193311,6.35
193312,3.96
193401,-3.10
193402,-0.25
193403,-0.86
193404,-5.12
193405,-2.83
193406,-0.96
193407,8.73
193408,2.41
193409,-0.10
193410,6.91
193411,4.22
193412,4.63
193501,3.60
193502,13.75
193503,2.86
193504,-4.72
193505,-3.67
193506,2.07
193507,-4.22
193508,-7.69
193509,8.93
193510,2.09
193511,-5.91
193512,3.75
193601,-3.36
193602,2.57
193603,1.73
193604,-7.83
193605,2.37
193606,0.45
193607,2.90
193608,0.61
193609,1.27
193610,0.99
193611,2.11
193612,2.11
193701,-1.85
193702,2.98
193703,2.81
193704,-3.71
193705,0.51
193706,0.68
193707,-0.40
193708,-1.79
193709,-7.14
193710,-1.56
193711,-0.97
193712,4.70
193801,-1.44
193802,-3.08
193803,15.75
193804,-8.88
193805,7.13
193806,-24.86
193807,-6.44
193808,3.95
193809,2.53
193810,-7.70
193811,3.13
193812,2.05
193901,-3.05
193902,3.25
193903,-1.48
193904,2.70
193905,3.56
193906,1.96
193907,-0.57
193908,5.90
193909,-30.35
193910,6.48
193911,-0.22
193912,5.40
194001,1.74
194002,1.81
194003,-0.36
194004,3.33
194005,2.86
194006,-2.14
194007,0.85
194008,-1.61
194009,-0.26
194010,-6.53
194011,1.33
194012,3.46
194101,-4.72
194102,0.91
194103,2.43
194104,3.03
194105,2.46
194106,-0.64
194107,-1.75
194108,0.17
194109,-1.57
194110,4.74
194111,4.04
194112,0.28
194201,-3.58
194202,-0.71
194203,-0.21
194204,-0.79
194205,-4.71
194206,-1.32
194207,0.77
194208,-0.13
194209,-0.64
194210,-4.01
194211,-0.97
194212,3.06
194301,-0.36
194302,-1.46
194303,4.74
194304,6.18
194305,5.61
194306,-1.30
194307,-4.59
194308,0.71
194309,1.78
194310,-0.53
194311,-4.72
194312,5.99
194401,0.97
194402,0.34
194403,2.61
194404,0.52
194405,2.07
194406,-5.22
194407,0.19
194408,4.68
194409,-1.08
194410,-1.24
194411,1.28
194412,3.36
194501,0.04
194502,3.03
194503,-3.28
194504,4.79
194505,0.11
194506,4.11
194507,-2.62
194508,-1.40
194509,1.40
194510,0.25
194511,4.26
194512,1.25
194601,3.76
194602,-1.45
194603,2.69
194604,3.03
194605,-0.61
194606,-2.52
194607,-0.10
194608,-0.03
194609,0.74
