date,mktrf,smb,hml,rmw,cma,rf
196307,-0.39,-0.47,-0.83,0.64,-1.15,0.27
196308,5.07,-0.78,1.67,0.34,-0.40,0.25
196309,-1.57,-0.48,0.18,-0.75,0.24,0.27
196310,2.53,-1.29,-0.10,2.74,-2.24,0.29
196311,-0.85,-0.84,1.71,-0.44,2.22,0.27
196312,1.83,-1.89,-0.12,0.08,-0.30,0.29
196401,2.24,0.08,1.59,0.21,1.50,0.30
196402,1.54,0.32,2.83,0.07,0.85,0.26
196403,1.41,1.42,3.32,-2.03,2.93,0.31
196404,0.10,-1.51,-0.55,-1.37,-1.08,0.29
196405,1.42,-0.68,1.98,-0.26,0.24,0.26
196406,1.27,0.08,0.68,-0.39,0.14,0.30
196407,1.74,0.53,0.68,0.14,1.84,0.30
196408,-1.44,0.30,0.09,0.06,0.36,0.28
196409,2.69,-0.31,1.65,-0.48,0.58,0.28
196410,0.59,0.88,1.14,-0.29,0.48,0.29
196411,0.00,-0.27,-1.98,0.60,-0.16,0.29
196412,0.03,-0.58,-2.55,1.13,-1.63,0.31
196501,3.54,2.49,0.18,0.84,0.11,0.28
196502,0.44,3.31,0.22,0.40,-0.69,0.30
196503,-1.34,2.03,1.09,-0.30,0.73,0.36
196504,3.11,1.18,0.71,0.26,-2.30,0.31
196505,-0.77,0.06,-1.63,-0.37,0.70,0.31
196506,-5.51,-4.30,0.55,0.12,0.41,0.35
196507,1.43,1.07,2.18,-1.44,-0.02,0.31
196508,2.73,2.72,-0.96,2.06,-0.76,0.33
196509,2.86,0.61,-0.10,-0.97,0.82,0.31
196510,2.60,3.43,1.52,1.27,-0.76,0.31
196511,-0.03,5.20,0.21,-1.09,-0.90,0.35
196512,1.01,2.65,1.95,-1.24,-0.45,0.33
196601,0.72,4.72,3.49,-2.84,-0.07,0.38
196602,-1.21,4.86,0.27,-0.16,-1.44,0.35
196603,-2.51,0.22,-2.07,1.34,-0.01,0.38
196604,2.14,3.38,-0.54,0.44,-0.91,0.34
196605,-5.66,-5.19,-1.55,1.69,-1.52,0.41
196606,-1.44,1.34,0.50,0.05,0.80,0.38
196607,-1.63,-0.50,0.96,-0.46,1.78,0.35
196608,-7.91,-3.03,0.47,0.06,0.77,0.41
196609,-1.06,-1.19,0.53,-1.66,2.50,0.40
196610,3.86,-6.53,2.87,-3.64,4.28,0.45
196611,1.40,3.37,-4.46,4.18,-6.53,0.40
196612,0.13,1.93,-1.22,0.68,-0.13,0.40
196701,8.15,9.00,2.22,0.62,-2.98,0.43
