date;mktrf;smb;hml;rmw;cma;rf;mkt;mom
1963-07-31;-0.0039;-0.0047;-0.0083;0.0064;-0.0115;0.0027;-0.0012;0.01
1963-08-30;0.0507;-0.0078;0.0167;0.0034;-0.004;0.0025;0.0532;0.0103
1963-09-30;-0.0157;-0.0048;0.0018;-0.0075;0.0024;0.0027;-0.013;0.0016
1963-10-31;0.0253;-0.0129;-0.001;0.0274;-0.0224;0.0029;0.0282;0.0314
1963-11-29;-0.0085;-0.0084;0.0171;-0.0044;0.0222;0.0027;-0.0058;-0.0075
1963-12-31;0.0183;-0.0189;-0.0012;8e-04;-0.003;0.0029;0.0212;0.017
1964-01-31;0.0224;8e-04;0.0159;0.0021;0.015;0.003;0.0254;0.0106
1964-02-28;0.0154;0.0032;0.0283;7e-04;0.0085;0.0026;0.018;0.0024
1964-03-31;0.0141;0.0142;0.0332;-0.0203;0.0293;0.0031;0.0172;0.0072
1964-04-30;0.001;-0.0151;-0.0055;-0.0137;-0.0108;0.0029;0.0039;-0.006
1964-05-28;0.0142;-0.0068;0.0198;-0.0026;0.0024;0.0026;0.0168;0.0254
1964-06-30;0.0127;8e-04;0.0068;-0.0039;0.0014;0.003;0.0157;0.0045
1964-07-31;0.0174;0.0053;0.0068;0.0014;0.0184;0.003;0.0204;-0.0037
1964-08-31;-0.0144;0.003;9e-04;6e-04;0.0036;0.0028;-0.0116;-0.0019
1964-09-30;0.0269;-0.0031;0.0165;-0.0048;0.0058;0.0028;0.0297;-0.0039
1964-10-30;0.0059;0.0088;0.0114;-0.0029;0.0048;0.0029;0.0088;8e-04
1964-11-30;0;-0.0027;-0.0198;0.006;-0.0016;0.0029;0.0029;0.0108
1964-12-31;3e-04;-0.0058;-0.0255;0.0113;-0.0163;0.0031;0.0034;-0.0069
1965-01-29;0.0354;0.0249;0.0018;0.0084;0.0011;0.0028;0.0382;-0.0128
1965-02-26;0.0044;0.0331;0.0022;0.004;-0.0069;0.003;0.0074;0.003
1965-03-31;-0.0134;0.0203;0.0109;-0.003;0.0073;0.0036;-0.0098;0.001
1965-04-30;0.0311;0.0118;0.0071;0.0026;-0.023;0.0031;0.0342;0.0254
1965-05-28;-0.0077;6e-04;-0.0163;-0.0037;0.007;0.0031;-0.0046;0.0054
1965-06-30;-0.0551;-0.043;0.0055;0.0012;0.0041;0.0035;-0.0516;-0.0312
1965-07-30;0.0143;0.0107;0.0218;-0.0144;-2e-04;0.0031;0.0174;0.041
1965-08-31;0.0273;0.0272;-0.0096;0.0206;-0.0076;0.0033;0.0306;0.0258
